Nombre,N°,Rareza,Tipo,Supertipo,Subtipo,Senda,Coste,FUE,RES,Arte,Habilidades,Texto de ambientación
Barahai aguerrido,117,C,Aliado,,Barahai,Poder,1,1,2,Guillermo Villarreal,Barahai aguerrido tiene la habilidad de Agresor mientras permanezca enderezado,"""Mis compañeros cuentan conmigo, debo mantenerme despierto"""
Barahai macizo,118,C,Aliado,,Barahai,Poder,5,4,3,Gastón Real Lopez / Franco Riesco,"Siempre que Barahai macizo ataque, obtiene +1 FUE hasta el final del turno por cada contador de daño sobre el","""Anursaur, hijo de la casa del árbol sagrado, ya sanare tu martirio."" -Arasunu"
Barahai poseído,119,I,Aliado,,Barahai,Poder,1,1,1,Ignacio Bustos,"Barahai Poseído obtiene +1 de FUE, +1 de RES y tiene la habilidad de Agresor mientras haya Thanatos. Barahai Poseído es un Vampiro además de sus otros tipos mientras haya Thanatos. ","""Los Barahai fueron los últimos en caer. El dominio de insania era ahora total"" -Ubanna"
Barahai protegido,120,I,Aliado,,Barahai,Poder,5,5,5,Rodolfo Buscaglia / Franco Riesco,"Si Barahai Protegido fuera a recibir daño de un ritual, prevén ese daño","""¿Eso es todo lo que tienes? ¡No me hagas reír!"" "
Barahai rabiademencia,121,C,Aliado,,Barahai,Poder,4,3,1,Damián Graff,Furia. Barahai rabiademencia obtiene +2 RES mientras haya Thanatos,"""El pulso de muerte y destrucción invade la tierra. El mundo cambiara para siempre"""
Barahai vanidoso,122,I,Aliado,,Barahai,Poder,6,4,4,Brian Miroglio,Furia. Barahai vanidoso obtiene +1 FUE +1 RES mientras haya Thanatos,"""Siempre se destaco entre sus hermanos. Esta vez de la forma incorrecta"""
Brújula de Estari,123,R,Objeto,,,Poder,1,,,Emmanuel Bou,"2, Girar: Busca en tu mazo un escenario y ponlo en tu mano, luego mezcla tu mazo","""Hacia el este, por el paso de la cuidad funeraria hacia la costa"" -Estari"
Caminante de Isgar,124,I,Aliado,,Humano,Poder,3,2,3,Nicolás Fernández,Vínculo 0: Endereza el recurso objetivo,"""En la ciudad sagrada, nuestra unión con la naturaleza obtiene su esplendor"""
Campeón barahai,125,C,Aliado,Instantáneo,Barahai,Poder,2,2,2,Matías Montenegro,, 
Comandante de Trion,126,I,Aliado,,Humano,Poder,4,2,4,Verónica Vallejos / Nicolás Fernández,Gira un aliado enderezado que controles: Comandante de Trion obtiene +1 FUE hasta el final del turno,
Concilio púrpura,127,R,Ritual,Instantáneo,,Poder,1,,,Germán Nóbile,"Busca en tu mazo un aliado y muéstralo. Luego, mezcla tu mazo y pon esa carta en la parte superior.","""Maestro... Te ofrecemos las reliquias extraviadas"""
Cortes de rabia,128,C,Ritual,,,Poder,1,,,Felipe Araya,El aliado objetivo obtiene +1 FUE y Furia hasta el final del turno. Recobrar 1,"""Los Barahai se preparan para la guerra con un grito de dolor y gloria"""
Crecimiento demencial,129,C,Ritual,,,Poder,1,,,Nicolás Fernández,"Agrega 2 energías. Si hay Thanatos, en vez de eso agrega 3 energías.","""Unos ojos nos observaron mientras pasábamos. Sin embargo, éramos las únicas criaturas en kilómetros."" -Caminante de Trion"
Daga despiadada,130,I,Objeto,,,Poder,3,,,Brian Miroglio,"1, Girar: Pon un contador de daño sobre el aliado de menor resistencia","""No importa el portador, el resultado será siempre el mismo"""
Dragón felino,131,C,Aliado,,Bestia,Poder,6,7,7,Paulo Barrios / Juan Martinez Pinilla,,
Espejo de colombus,132,C,Objeto,,,Poder,1,,,Guillermo Villarreal,Destruir Espejo de colombus: Destruye el objeto objetivo,"""El eco de la calavera romperse en mil pedazos puede sentirse... pero no escucharse"""
Grito de batalla,133,E,Ritual,,,Poder,8,,,Roberto Viacava,"Endereza todos los aliados que controles, obtienen +3 FUE hasta el final del turno","""Avanzad sin piedad"" -Dakal, regente de Trion"
Guardián de Tresia,134,E,Objeto,Único,,Poder,2,,,Germán Nóbile,"Guardián de Tresia es un aliado Golem 5 FUE, 5 RES mientras tengas siete o mas cartas en tu mano. Sigue siendo un objeto.","""Leoto se rindió por primera y única vez. Su cuerpo olvido el dolor y la esencia escucho el llamado hacia el infierno."" -Fragmento de la caída de Trion."
Guerrero rhino,135,C,Aliado,,Humano,Poder,4,4,2,Gastón Zubeldia,Vínculo 1: Exilia el objeto objetivo,"""Como una estatua esculpida en el bosque, el guerrero espera su momento de gloria"""
Hoja de la gula,136,C,Arma,,,Poder,3,+2,+1,Emmanuel Bou,,
Pacificadora barahai,137,C,Aliado,,Barahai,Poder,2,1,1,Verónica Vallejos / Nicolás Fernández,"Si la Pacificadora Barahai fuera a ser puesta en un inferno, en vez de eso, ponla boca abajo como recurso bajo el control de su demonio.""","""Mi destino me une a mi madre, el infierno nunca vera mi rostro"""
Poción preventiva,138,C,Objeto,,,Poder,2,,,Gustavo Santome,Destruir Poción preventiva: Prevén todo el daño que se le fuera a hacer al aliado objetivo este turno.,"""Portarla otorga seguridad, beberla inmortalidad."""
Portadora de la abundancia,139,R,Aliado,Único,Súcubo,Poder,6,5,5,Verónica Vallejos / Nicolás Fernández,"Siempre que un aliado que no sea ficha entre en juego, puedes poner en juego una ficha de aliado Vampiro 1 FUE 1 RES. ","""Madre me protege, no puedes ganar contra todos nosotros"""
Raíces profundas,140,I,Objeto,,,Poder,2,,,Germán Nóbile,Destruir Raices Profundas: Pon un aliado de tu inferno en tu mano,"""Madre conoce bien el inferno. Madre sabe donde buscar"" -Dämonin"
Revitalizar,141,R,Ritual,,,Poder,4,,,Fabián Mayta Aguilar,Endereza todos tus recursos.,"""Madre finalmente volvio a su hogar, mis lagrimas sanaran cada arbol marchito."" -Dämonin"
Sanadora de pétalos,142,C,Aliado,Instantáneo,Humano,Poder,3,2,2,Nicolás Fernández,"Cuando Sanadora de Pétalos entre en juego, puedes remover todos los contadores de daño sobre el aliado objetivo","""El estanque de roció otorga milagrosos poderes a quienes reciben con agrado su bendición"""
Sauro,143,R,Aliado,,Reptil,Poder,9,9,9,Juan Manuel Tumburus,Cuando entra en juego destruye todos los aliados con daño,"""De repente un temblor azoto el suelo, la tierra rugió y se desgarro, el magnifico reptil dominaba el cielo como una tormenta"" -Fragmento de la caída de Trion"
"Sífile, trance sobrenatural",144,R,Objeto,Único,,Poder,1,,,Emmanuel Bou,"Siempre que un efecto que controle un oponente fuera a destruir un recurso que controles, en vez de eso, exilialo. Al final del turno, regrésalo al juego girado bajo tu control.","Cualquier mago puede canalizar la energía del planeta, pero solo Sifile puede convertirla en un mundo entero"
"Téjere, fuego de la tempestad",145,R,Aliado,Único,,Poder,3,+3,+3,Tomás Aira,Tejere solo puede equipar aliados sin habilidades,"""Takina desmonto el arma de su estuche y la ofreció. Zahane la sujeto con reverente delicadeza."" -Fragmento de la caída de Trion"
Toque de Dämonin,146,I,Ritual,Instantáneo,,Poder,2,,,Santiago Calleriza,Pon el aliado objetivo que no sea ficha como recurso bajo el control de su demonio,"""¿Puedes sentir la fusión con la tierra? Tu fuerza ahora es mía"" -Dämonin"
"Trion, la caída",147,R,Escenario,,,Poder,0,,,Nicolás Fernández,"Al final del turno de cada demonio, ese demonio gira todos sus recursos","""Traición es su idioma, corrupción su moneda. Cuida bien tus pertenencias y mantén tu boca cerrada."" -Caminante de Trion"
"Zahane, hija del destino",148,R,Aliado,Único,Humano,Poder,1,2,2,Tomás Aira,,
Acólito de Ubanna,149,E,Aliado,,Avatar,Neutral,3,2,3,Lizzo,"Thanatos. Siempre que Acólito de Ubanna fuera a hacer daño de combate a un demonio, en vez de eso, busca esa misma cantidad de cartas en su mazo y ponla en su inferno. Luego ese demonio mezcla su mazo","""En este mundo hay tanto por conocer, tanto por olvidar"""
Beso vampírico,150,C,Ritual,Instantáneo,,Neutral,3,,,Paulo Barrios / Juan Martinez Pinilla,Pon en juego dos fichas de aliado Vampiro 1 FUE 1 RES. ,"""No te resistas querido, pronto volverás a nacer"""
Caminante demencial,151,C,Aliado,,Vampiro,Neutral,3,2,3,Nicolás Fernández,Thanatos. Vínculo 0: Hay Thanatos hasta el final del turno.,"""La peste demencial se siente con su presencia, e infortunadas veces sin ella también"""
Campeón vampiro,152,R,Aliado,,Vampiro,Neutral,4,X,X,Roberto Viacava,Thanatos. Campeón Vampiro tiene FUE y RES igual a la cantidad de vampiros en juego.,"""Su sombra crecía imponente. La diosa de la luz temió por su vida y corrió hacia el abismo"" -Leyenda Infantil"
Cavernas de Insania,153,I,Escenario,,,Neutral,0,,,Santiago Calleriza,Thanatos. Los demonios no pueden voltearse.,"""Temen a las cavernas, porque saben que nunca regresaran"" -Ubanna"
Clasificación precisa,154,R,Ritual,,,Neutral,2,,,Manuela Mauregui,"Mira tus recursos, elige uno y ponlo en tu mano.","""La mayor posesion de un humano es su capacidad creativa. Tomamos la idea y desechamos el recipiente."" -Baggrund"
Colmillo maldito,155,C,Objeto,,,Neutral,0,,,Alberto Aprea,Girar: Hay Thanatos hasta el final del turno.,"""La esencia de Insania late en el colmillo"""
Cubo demencial,156,I,Objeto,,,Neutral,3,,,Edgard Machiavello,Thanatos. Girar: El jugador objetivo agrega 1 energía.,"""Alguna vez fueron llamados como ""el corazón de Insania""""."
Daga sanguínea,157,C,Arma,,,Neutral,3,+1,+1,Hans Lobos,Thanatos. El aliado equipado es un vampiro además de sus otros tipos,"""Todo un legado vampírico en un solo recipiente"""
Forajido vampiro,158,I,Aliado,,Vampiro,Neutral,2,1,1,Germán Nóbile,Thanatos. Destruir Forajido Vampiro: destruye el objeto objetivo,"""Lo atrapamos comandante, pero no portaba la reliquia"" -Guardia de Trion"
Grilletes del sufrimiento,159,C,Objeto,,,Neutral,2,,,Esteban Campos Millapel,"Thanatos. 1, Girar: El aliado objetivo que no sea vampiro obtiene -1 FUE hasta el final del turno.","""Nuestra intención no es matarte, solo nos gusta verte sufrir."" -Vampiro verdugo."
Krilatis migratorios,160,C,Aliado,Ilimitado,Reptil,Neutral,1,1,1,Germán Nóbile,,
Llanura de perdición,161,I,Escenario,,,Neutral,0,,,Emmanuel Bou,Thanatos. Los aliados con contadores de daño sobre ellos son vampiros además de sus otros tipos.,"""El olor a sangre es insoportable. Aléjate antes de que empiece a gustarte"". -Caminante  solitario"
Mandíbula de dragón,162,I,Arma,,,Neutral,3,+2,+2,Gustavo Santome,Thanatos. Mandíbula de Dragón solo puede equipar vampiros,"""Los artefactos de dragón no son dignos de cualquier portador"""
Manto de las mil almas,163,C,Objeto,,,Neutral,3,,,Pablo Gorigoitia / Nicolás Fernández,Thanatos. Destruir Manto de las Mil almas: Los aliados no pueden ser atacados este turno.,"""El manto cubre nuestros movimientos, mientras esta civilización cae bajo nuestros pies"" -Vampiro libre"
Marca de Caín,164,C,Ritual,Instantáneo,,Neutral,1,,,Damián Graff,Hay Thanatos hasta el final del turno. Toma una carta. Recobrar 1,"""Este es ahora nuestro territorio."""
"Mike, el irrespetuoso",165,C,Aliado,,Vampiro,Neutral,4,3,5,Lizzo,Thanatos. ,"""Los modales de Insania pueden variar levemente a las buenas costumbres"""
Necrópolis olvidada,166,E,Escenario,,,Neutral,0,,,Nicolás Fernández,Thanatos. Los vampiros obtienen +1 FUE y +1 RES.,"""Cuando los vampiros retornaron, la tumba de los antiguos volvió a latir"""
Negar la demencia,167,R,Ritual,Instantáneo,,Neutral,2,,,Adrián Kim,"Cancela la habilidad objetivo. Si hay Thanatos, mezcla Negar la demencia en el mazo de su demonio.","""Hermoso discurso, que nadie escuchara jamás."" -Ubanna"
"Planus, llave del mundo esencial",168,R,Objeto,Único,,Neutral,2,,,Emmanuel Bou,Thanatos. Girar: Toma una carta. Luego pon una carta de tu mano en la parte inferior de tu mazo.,"""La energía que regula la vida y la muerte, el caos y el orden, la matriz y alimento de todo."" Fragmento de La caida de Trion"
Regenerar con sangre,169,I,Ritual,,,Neutral,2,,,Fabián Alberto Gonzalez,Endereza el demonio objetivo. Hay Thanatos hasta el final del turno.,Un noble sacrificio para nuestro querido amo.
Sangreatero,170,I,Aliado,,Vampiro,Neutral,4,3,3,Felipe Araya,Thanatos. Cuando Sangreatero deje el juego los vampiros que controles obtienen +1 FUE hasta el final del turno,"""Tu adelántate, que nosotros te cuidamos"" -Mike"
Sol ennegrecido,171,I,Objeto,,,Neutral,0,,,Hans Lobos,"Thanatos. 3, destruir Sol Ennegrecido: Exilia el escenario objetivo. ","""Las ruinas de la cuidad todavía conservan las verdes cenizas"""
Vampiro cabecilla,172,I,Aliado,,Vampiro,Neutral,6,4,4,Sergio Tarquini / Emmanuel Bou,Thanatos. Vampiro cabecilla obtiene +1 FUE por cada otro vampiro que controles,
Vampiro líder,173,R,Aliado,,Vampiro,Neutral,6,5,5,Rodolfo Buscaglia / Germán Nóbile,Thanatos. Los vampiros que controles tienen la habilidad de Protector,
Vampiro persuasivo,174,I,Aliado,,Vampiro,Neutral,3,3,2,Verónica Vallejos / Nicolás Fernández,"Thanatos. Vínculo 1: Toma una carta, luego descarta 1 carta de tu mano.","""Siempre obtengo lo que quiero"""
Vampiro recluta,175,I,Aliado,,Vampiro,Neutral,3,1,3,Darío Reyes,Thanatos. Vínculo 0: Pon en juego una ficha de aliado Vampiro 1 FUE 1 RES. ,"""De mi sangre nacerá una nueva estirpe"""
Vampiro sabio,176,R,Aliado,,Vampiro,Neutral,3,2,3,Sergio Tarquini / Gustavo Santome,Thanatos. Girar: Mezcla una carta de tu mano en tu mazo.,
Vampiro sanador,177,I,Aliado,,Vampiro,Neutral,4,2,4,Verónica Vallejos / Nicolás Fernández,"Thanatos. Cuando Vampiro sanador entre en jugo, remueve todos los contadores de daño sobre vampiros que controles","""Tranquilos hermanos, yo sanare vuestras heridas"""
Vampiro temprano,178,C,Aliado,Instantáneo,Vampiro,Neutral,2,2,1,Alejandro Machado / Franco Riesco,Thanatos. ,"""Los pequeños vampiros fueron los primeros. Hábiles y escurridizos, difíciles de alcanzar."""
Viajero nocturno,179,C,Aliado,,Vampiro,Neutral,1,1,1,Luciano Comizzo,Thanatos. ,"""La ciudadela es una gran laberinto de trampas, cada callejón es una oportunidad."""
Vigía de las tinieblas,180,C,Aliado,,Vampiro,Neutral,4,3,2,Luciano Comizzo,Thanatos. Protector.,"""Aguarda pacientemente, el momento indicado para su cacería"""
"Ficha Caos Kirch 1/1 Furia",181,C,Aliado,,Kirch,Caos,,1,1,Guillermo Villarreal,Furia.,"""Puedo hacerlo mas grande, fuerte y... ¿mas veloz? También puedo hacerlo mas veloz"" -Tod, maestro de cirugía Kirch"
"Ficha Locura Bot",182,C,Objeto,,Bot,Locura,,,,Guillermo Villarreal,Destruir Bot: Remueve un contador de daño sobre el Cyborg objetivo,"""Pueden parecerte útiles herramientas, pero para mi son héroes."" -Efe, pionero de la rebelión"
"Ficha Muerte Diablo 2/1",183,C,Aliado,,Diablo,Muerte,,2,1,Lizzo,,
"Ficha Neutral Vampiro 1/1",184,C,Aliado,,Vampiro,Neutral,,1,1,Sergio Tarquini / Franco Riesco,,
